alert_id,incident_id,timestamp,last_seen,duration_minutes,event_count,username,source_ip,affected_hosts,threat_type,triggered_indicators,triggered_rule_ids,mitre_techniques,ml_anomaly_score,ml_tier,rule_score,ml_bonus,risk_score,severity,status,recommended_response,label,scenarios
ALT-000011,INC-000011,2024-01-10 04:10:35,2024-01-10 04:40:05,29.5,21,employee13,203.0.113.187,"admin-jump-host,admin-portal,app-server-01,db-server-01,dc-01,file-server-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.215459,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000012,INC-000012,2024-01-12 00:57:25,2024-01-12 01:16:01,18.6,17,employee36,198.51.100.229,"admin-portal,app-server-01,backup-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000013,INC-000013,2024-01-18 01:24:20,2024-01-18 01:48:52,24.53,21,employee37,198.51.100.252,"admin-jump-host,admin-portal,app-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000014,INC-000014,2024-01-18 04:40:45,2024-01-18 05:04:31,23.77,20,employee17,192.0.2.3,"admin-jump-host,admin-portal,app-server-01,db-server-01,dc-01,file-server-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.207991,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000015,INC-000015,2024-01-20 02:36:21,2024-01-20 02:57:25,21.07,20,employee16,203.0.113.174,"admin-portal,app-server-01,backup-server-01,db-server-01,dc-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000016,INC-000016,2024-01-20 04:49:00,2024-01-20 05:08:30,19.5,16,employee16,198.51.100.215,"admin-portal,app-server-01,backup-server-01,db-server-01,dc-01,file-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.207991,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000017,INC-000017,2024-01-21 05:36:09,2024-01-21 05:58:21,22.2,17,employee02,192.0.2.51,"admin-portal,app-server-01,backup-server-01,db-server-01,dc-01,file-server-01,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.211329,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000018,INC-000018,2024-01-23 00:05:49,2024-01-23 00:30:38,24.82,22,admin02,203.0.113.97,"admin-portal,backup-server-01,db-server-01,dc-01,file-server-01,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220913,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000019,INC-000019,2024-01-23 03:29:44,2024-01-23 03:52:00,22.27,17,employee05,203.0.113.75,"admin-portal,app-server-01,backup-server-01,dc-01,file-server-01,hr-portal,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.215459,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000020,INC-000020,2024-01-25 01:40:32,2024-01-25 02:06:25,25.88,17,employee25,198.51.100.149,"admin-jump-host,admin-portal,db-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration,0.220913,strong,125,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000021,INC-000021,2024-01-25 01:53:53,2024-01-25 02:14:12,20.32,5,employee20,10.20.0.21,"admin-portal,app-server-01,file-server-01,mail-server-01,vpn-gateway",Credential Access,Credential-Access Activity | New Privileged Account Created | Privilege Escalation | Unusual Login Time,"R2,R5,R7,R8",T1003 - OS Credential Dumping; T1078 - Valid Accounts; T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.098237,strong,95,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,"credential_access,new_privileged_account"
ALT-000022,INC-000022,2024-01-26 05:28:52,2024-01-26 05:51:45,22.88,20,admin03,203.0.113.197,"admin-portal,backup-server-01,db-server-01,dc-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.211329,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000023,INC-000023,2024-01-27 02:12:50,2024-01-27 02:38:43,25.88,20,employee06,198.51.100.205,"admin-jump-host,admin-portal,app-server-01,dc-01,file-server-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220653,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000024,INC-000024,2024-01-29 02:05:15,2024-01-29 02:26:32,21.28,19,employee29,198.51.100.50,"admin-jump-host,admin-portal,app-server-01,db-server-01,dc-01,hr-portal,mail-server-01,mfa-service,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Host Access (Lateral Movement) | Privilege Escalation | New MFA Device Registered | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R4,R5,R6,R8,nan",T1003 - OS Credential Dumping; T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1098.005 - Account Manipulation: Device Registration; T1110 - Brute Force,0.220653,strong,135,15,100,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,combined_cisco
ALT-000025,INC-000025,2024-01-15 03:08:36,2024-01-15 03:54:29,45.88,16,employee29,192.0.2.172,"admin-portal,backup-server-01,dc-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation; T1110 - Brute Force,0.197288,strong,80,15,95,CRITICAL,New,"Immediate incident response: disable account, isolate all affected hosts, escalate to SOC lead, begin forensic capture.",1,"credential_brute_force,privilege_escalation"
ALT-000026,INC-000026,2024-01-10 05:40:23,2024-01-10 05:56:20,15.95,15,employee35,192.0.2.246,"db-server-01,hr-portal,vpn-gateway",Credential Access,Credential-Access Activity | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R8",T1003 - OS Credential Dumping; T1078 - Valid Accounts; T1110 - Brute Force,0.089819,strong,65,15,80,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,"credential_access,credential_brute_force"
ALT-000027,INC-000027,2024-01-08 00:41:08,2024-01-08 01:27:27,46.32,14,employee23,203.0.113.144,"admin-portal,backup-server-01,vpn-gateway",Privilege Escalation,Privilege Escalation | Multiple Failed Logins | New / Unrecognised Device | Unusual Login Time,"R1,R2,R3,R5,nan",T1078 - Valid Accounts; T1098 - Account Manipulation; T1110 - Brute Force,0.158723,strong,60,15,75,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,"credential_brute_force,privilege_escalation"
ALT-000028,INC-000028,2024-01-02 02:17:36,2024-01-02 02:31:36,14.0,4,employee01,10.20.0.2,"admin-jump-host,admin-portal,dc-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Unusual Login Time,"R2,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation,0.180407,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,privilege_escalation
ALT-000029,INC-000029,2024-01-02 03:06:48,2024-01-02 03:06:48,0.0,1,employee19,198.51.100.182,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.06914,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000030,INC-000030,2024-01-02 04:48:30,2024-01-02 04:48:30,0.0,1,employee37,203.0.113.235,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.048486,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000031,INC-000031,2024-01-02 05:27:16,2024-01-02 05:40:16,13.0,4,employee04,10.20.0.5,"admin-jump-host,admin-portal,backup-server-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Unusual Login Time,"R2,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation,0.144214,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,privilege_escalation
ALT-000032,INC-000032,2024-01-04 02:58:03,2024-01-04 02:58:03,0.0,1,employee01,203.0.113.213,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000033,INC-000033,2024-01-06 02:22:07,2024-01-06 02:22:07,0.0,1,employee01,192.0.2.137,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000034,INC-000034,2024-01-09 04:28:18,2024-01-09 04:38:18,10.0,4,employee17,10.20.0.18,"admin-jump-host,admin-portal,backup-server-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Unusual Login Time,"R2,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation,0.148457,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,privilege_escalation
ALT-000035,INC-000035,2024-01-10 01:04:28,2024-01-10 01:04:28,0.0,1,employee33,192.0.2.41,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000036,INC-000036,2024-01-13 01:43:19,2024-01-13 01:43:19,0.0,1,employee28,203.0.113.199,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.094745,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000037,INC-000037,2024-01-15 02:56:05,2024-01-15 02:56:05,0.0,1,employee38,198.51.100.210,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000038,INC-000038,2024-01-16 00:33:39,2024-01-16 00:44:39,11.0,4,employee40,10.20.0.41,"admin-portal,backup-server-01,dc-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Unusual Login Time,"R2,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation,0.180654,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,privilege_escalation
ALT-000039,INC-000039,2024-01-16 01:45:44,2024-01-16 01:45:44,0.0,1,admin05,192.0.2.99,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000040,INC-000040,2024-01-21 02:13:25,2024-01-21 02:13:25,0.0,1,employee34,203.0.113.150,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.094963,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000041,INC-000041,2024-01-23 00:22:37,2024-01-23 00:22:37,0.0,1,employee33,198.51.100.150,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.084876,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000042,INC-000042,2024-01-26 00:09:07,2024-01-26 00:22:07,13.0,4,employee37,10.20.0.38,"admin-jump-host,admin-portal,backup-server-01,vpn-gateway",Lateral Movement,Multiple Host Access (Lateral Movement) | Privilege Escalation | Unusual Login Time,"R2,R5,R6,nan",T1021 - Remote Services; T1078 - Valid Accounts; T1098 - Account Manipulation,0.169047,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,privilege_escalation
ALT-000043,INC-000043,2024-01-27 03:37:39,2024-01-27 03:37:39,0.0,1,employee10,203.0.113.252,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.094963,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000044,INC-000044,2024-01-29 01:37:55,2024-01-29 01:37:55,0.0,1,employee20,203.0.113.7,admin-portal,Persistence: New Privileged Account,New Privileged Account Created | Privilege Escalation,"R5,R7",T1098 - Account Manipulation; T1136.001 - Create Account: Local Account,0.083759,strong,55,15,70,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,new_privileged_account
ALT-000045,INC-000045,2024-01-01 00:41:55,2024-01-01 00:49:55,8.0,6,admin03,203.0.113.129,"mfa-service,vpn-gateway",MFA Abuse,New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,nan",T1078 - Valid Accounts; T1098.005 - Account Manipulation: Device Registration,0.148758,strong,50,15,65,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,mfa_fatigue
ALT-000046,INC-000046,2024-01-01 00:48:33,2024-01-01 01:02:33,14.0,9,employee01,198.51.100.120,"mfa-service,vpn-gateway",MFA Abuse,New MFA Device Registered | New / Unrecognised Device | Unusual Login Time,"R2,R3,R4,nan",T1078 - Valid Accounts; T1098.005 - Account Manipulation: Device Registration,0.148758,strong,50,15,65,HIGH,New,"Reset credentials, enforce MFA re-enrollment, isolate the affected host.",1,mfa_fatigue
