event_id,timestamp,username,source_ip,destination_host,event_type,rule_id,rule_name,evidence,risk_points,mitre,label
EVT-000331,2024-01-02 02:22:51,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000332,2024-01-02 02:23:40,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000333,2024-01-02 02:24:46,admin01,192.0.2.68,vpn-gateway,login,R1,Multiple Failed Logins,5 failed logins for 'admin01' in the last 15 min,15,T1110 - Brute Force,1
EVT-000333,2024-01-02 02:24:46,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000334,2024-01-02 02:25:33,admin01,192.0.2.68,vpn-gateway,login,R1,Multiple Failed Logins,6 failed logins for 'admin01' in the last 15 min,15,T1110 - Brute Force,1
EVT-000334,2024-01-02 02:25:33,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000335,2024-01-02 02:25:36,employee01,10.20.0.2,admin-portal,privilege_change,R5,Privilege Escalation,Privilege escalation to 'admin' via 'privilege_change' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000336,2024-01-02 02:26:38,admin01,192.0.2.68,vpn-gateway,login,R1,Multiple Failed Logins,7 failed logins for 'admin01' in the last 15 min,15,T1110 - Brute Force,1
EVT-000336,2024-01-02 02:26:38,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000337,2024-01-02 02:27:38,admin01,192.0.2.68,vpn-gateway,login,R1,Multiple Failed Logins,7 failed logins for 'admin01' in the last 15 min,15,T1110 - Brute Force,1
EVT-000337,2024-01-02 02:27:38,admin01,192.0.2.68,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000337,2024-01-02 02:27:38,admin01,192.0.2.68,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-558',10,T1078 - Valid Accounts,1
EVT-000340,2024-01-02 02:31:36,employee01,10.20.0.2,admin-jump-host,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000343,2024-01-02 02:35:38,admin01,192.0.2.68,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000344,2024-01-02 02:37:38,admin01,192.0.2.68,admin-portal,privilege_change,R5,Privilege Escalation,Privilege escalation to 'admin' via 'privilege_change' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000345,2024-01-02 02:38:38,admin01,192.0.2.68,hr-portal,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'hr-portal',25,T1003 - OS Credential Dumping,1
EVT-000346,2024-01-02 02:39:55,admin01,192.0.2.68,file-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'admin01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000347,2024-01-02 02:40:54,admin01,192.0.2.68,app-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'admin01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000348,2024-01-02 02:42:18,admin01,192.0.2.68,db-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 7 distinct hosts by 'admin01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000349,2024-01-02 02:43:34,admin01,192.0.2.68,admin-jump-host,server_access,R6,Multiple Host Access (Lateral Movement),Access to 7 distinct hosts by 'admin01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000350,2024-01-02 02:44:43,admin01,192.0.2.68,dc-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 8 distinct hosts by 'admin01' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000351,2024-01-02 02:51:11,admin01,10.30.0.1,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000352,2024-01-02 02:53:11,admin01,10.30.0.1,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000353,2024-01-02 02:55:11,admin01,10.30.0.1,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000354,2024-01-02 03:06:48,employee19,198.51.100.182,admin-portal,account_creation,R5,Privilege Escalation,Privilege escalation to 'admin' via 'account_creation' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000354,2024-01-02 03:06:48,employee19,198.51.100.182,admin-portal,account_creation,R7,New Privileged Account Created,New privileged account created on 'admin-portal' by 'employee19',25,T1136.001 - Create Account: Local Account,1
EVT-000355,2024-01-02 03:10:48,svc_backup26,198.51.100.182,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000356,2024-01-02 03:11:52,employee26,10.20.0.27,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000359,2024-01-02 03:15:23,employee26,10.20.0.27,file-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee26' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000361,2024-01-02 03:16:07,employee26,10.20.0.27,hr-portal,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'employee26' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000362,2024-01-02 03:17:45,employee26,10.20.0.27,backup-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'employee26' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000371,2024-01-02 03:46:40,employee17,203.0.113.60,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000372,2024-01-02 03:47:40,employee17,203.0.113.60,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000372,2024-01-02 03:47:40,employee17,203.0.113.60,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-1017',10,T1078 - Valid Accounts,1
EVT-000373,2024-01-02 04:48:30,employee37,203.0.113.235,admin-portal,account_creation,R5,Privilege Escalation,Privilege escalation to 'admin' via 'account_creation' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000373,2024-01-02 04:48:30,employee37,203.0.113.235,admin-portal,account_creation,R7,New Privileged Account Created,New privileged account created on 'admin-portal' by 'employee37',25,T1136.001 - Create Account: Local Account,1
EVT-000374,2024-01-02 04:49:30,svc_backup93,203.0.113.235,vpn-gateway,login,R2,Unusual Login Time,Successful login at 04:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000376,2024-01-02 05:27:16,employee04,10.20.0.5,vpn-gateway,login,R2,Unusual Login Time,Successful login at 05:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000377,2024-01-02 05:33:16,employee04,10.20.0.5,admin-portal,privilege_change,R5,Privilege Escalation,Privilege escalation to 'admin' via 'privilege_change' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000379,2024-01-02 05:40:16,employee04,10.20.0.5,backup-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee04' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000618,2024-01-03 02:39:18,employee16,10.20.0.17,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000619,2024-01-03 02:42:18,employee16,10.20.0.17,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000620,2024-01-03 02:46:18,employee16,10.20.0.17,hr-portal,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'hr-portal',25,T1003 - OS Credential Dumping,1
EVT-000621,2024-01-03 02:49:18,employee16,10.20.0.17,app-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'app-server-01',25,T1003 - OS Credential Dumping,1
EVT-000622,2024-01-03 03:05:27,employee08,10.20.0.9,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000625,2024-01-03 03:10:41,employee08,10.20.0.9,backup-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 4 distinct hosts by 'employee08' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000626,2024-01-03 03:11:27,employee08,10.20.0.9,admin-jump-host,server_access,R6,Multiple Host Access (Lateral Movement),Access to 5 distinct hosts by 'employee08' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000627,2024-01-03 03:12:09,employee08,10.20.0.9,mail-server-01,server_access,R6,Multiple Host Access (Lateral Movement),Access to 6 distinct hosts by 'employee08' within 10 min (lateral-movement pattern),15,T1021 - Remote Services,1
EVT-000628,2024-01-03 03:59:34,employee27,198.51.100.3,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000628,2024-01-03 03:59:34,employee27,198.51.100.3,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-593',10,T1078 - Valid Accounts,1
EVT-000917,2024-01-04 01:05:41,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000918,2024-01-04 01:05:47,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000919,2024-01-04 01:06:06,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000920,2024-01-04 01:06:32,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000921,2024-01-04 01:07:11,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,5 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000921,2024-01-04 01:07:11,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000922,2024-01-04 01:07:41,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,6 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000922,2024-01-04 01:07:41,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000923,2024-01-04 01:08:24,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,7 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000923,2024-01-04 01:08:24,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000924,2024-01-04 01:08:31,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,8 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000924,2024-01-04 01:08:31,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000925,2024-01-04 01:08:39,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,9 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000925,2024-01-04 01:08:39,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000926,2024-01-04 01:10:39,employee12,192.0.2.32,vpn-gateway,login,R1,Multiple Failed Logins,9 failed logins for 'employee12' in the last 15 min,15,T1110 - Brute Force,1
EVT-000926,2024-01-04 01:10:39,employee12,192.0.2.32,vpn-gateway,login,R2,Unusual Login Time,Successful login at 01:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000926,2024-01-04 01:10:39,employee12,192.0.2.32,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-643',10,T1078 - Valid Accounts,1
EVT-000927,2024-01-04 01:11:09,employee32,198.51.100.244,vpn-gateway,login,R2,Unusual Login Time,Successful login at 01:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000927,2024-01-04 01:11:09,employee32,198.51.100.244,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-497',10,T1078 - Valid Accounts,1
EVT-000931,2024-01-04 02:58:03,employee01,203.0.113.213,admin-portal,account_creation,R5,Privilege Escalation,Privilege escalation to 'admin' via 'account_creation' on 'admin-portal',20,T1098 - Account Manipulation,1
EVT-000931,2024-01-04 02:58:03,employee01,203.0.113.213,admin-portal,account_creation,R7,New Privileged Account Created,New privileged account created on 'admin-portal' by 'employee01',25,T1136.001 - Create Account: Local Account,1
EVT-000932,2024-01-04 02:58:22,employee09,203.0.113.154,vpn-gateway,login,R2,Unusual Login Time,Successful login at 02:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000932,2024-01-04 02:58:22,employee09,203.0.113.154,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-546',10,T1078 - Valid Accounts,1
EVT-000933,2024-01-04 03:01:03,svc_backup90,203.0.113.213,vpn-gateway,login,R2,Unusual Login Time,Successful login at 03:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000939,2024-01-04 04:06:27,employee17,198.51.100.168,vpn-gateway,login,R2,Unusual Login Time,Successful login at 04:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000939,2024-01-04 04:06:27,employee17,198.51.100.168,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-132',10,T1078 - Valid Accounts,1
EVT-000940,2024-01-04 04:07:33,employee01,10.20.0.2,vpn-gateway,login,R2,Unusual Login Time,Successful login at 04:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000942,2024-01-04 04:10:33,employee01,10.20.0.2,db-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'db-server-01',25,T1003 - OS Credential Dumping,1
EVT-000943,2024-01-04 04:11:33,employee01,10.20.0.2,app-server-01,process_start,R8,Credential-Access Activity,Simulated credential-access activity: process 'sim_credential_access_tool' on 'app-server-01',25,T1003 - OS Credential Dumping,1
EVT-000948,2024-01-04 04:23:21,employee12,192.0.2.57,mfa-service,mfa_event,R4,New MFA Device Registered,A new MFA device was registered for this account,20,T1098.005 - Account Manipulation: Device Registration,1
EVT-000949,2024-01-04 04:24:21,employee12,192.0.2.57,vpn-gateway,login,R2,Unusual Login Time,Successful login at 04:00 (outside working hours 08-19),10,T1078 - Valid Accounts,1
EVT-000949,2024-01-04 04:24:21,employee12,192.0.2.57,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-1012',10,T1078 - Valid Accounts,1
EVT-001191,2024-01-05 00:57:24,employee21,192.0.2.58,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-893',10,T1078 - Valid Accounts,1
EVT-001192,2024-01-05 00:58:35,employee21,192.0.2.58,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-893',10,T1078 - Valid Accounts,1
EVT-001193,2024-01-05 00:59:02,employee21,192.0.2.58,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-893',10,T1078 - Valid Accounts,1
EVT-001194,2024-01-05 01:00:27,employee21,192.0.2.58,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-893',10,T1078 - Valid Accounts,1
EVT-001195,2024-01-05 01:01:23,employee21,192.0.2.58,vpn-gateway,login,R1,Multiple Failed Logins,5 failed logins for 'employee21' in the last 15 min,15,T1110 - Brute Force,1
EVT-001195,2024-01-05 01:01:23,employee21,192.0.2.58,vpn-gateway,login,R3,New / Unrecognised Device,Login from a previously unseen device 'DEV-UNKNOWN-893',10,T1078 - Valid Accounts,1
EVT-001196,2024-01-05 01:02:34,employee21,192.0.2.58,vpn-gateway,login,R1,Multiple Failed Logins,6 failed logins for 'employee21' in the last 15 min,15,T1110 - Brute Force,1
